STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l)
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, 0GALWADI, MAHAD, RAIGAD",MAHARASHTRA,28,6.8,7.2,170,3.1
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,27.6,6.8,7.3,4175,3.3
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,27.9,6.9,7.3,4282,3.3
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.1,6.9,7.3,5551,3.4
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.1,6.8,7.9,5390,4.9
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.6,6.6,8.1,161,4.6
2708,"SURYA RIVER AT INTAKE OF VASAI0VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.3,6.7,8,138,5
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.8,6.7,7.8,81,4.9
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28,5.9,7.7,194,5.5
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.1,6.3,7.6,186,4.6
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.6,6.6,7.6,207,4.7
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,26.9,6.8,7.7,85,5
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23,7.1,7.4,176,2.7
2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,23,7,7.4,178,2.7
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23,7.2,7.2,180,2.7
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,25.1,6.7,7.5,85,1.4
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.6,5.8,7.4,77,1.4
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.7,6.6,7.5,75,1.4
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.8,6.7,7.5,82,1.4
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.3,6.7,6.9,56,0.9
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.5,6.5,6.7,2240,1.2
2286,R AYROOR AT AYROOR BRIDGE,KERALA,25.2,6.3,6.9,73,1.6
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,29.9,7,7.4,130,0.7
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,29.8,6.6,7.7,191,1.6
1154,"CHALAKUDY AT PULICKALKA0DAVU, KERALA",KERALA,27.8,6.9,6.9,134,1.1
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,26.7,7,7.5,80,0.8
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,25.8,6.7,7.4,14526,0.8
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.4,7.2,7.4,82,0.7
1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,29.8,7.5,7.2,67,1.1
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.6,3,6.6,965,1.7
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.9,5.9,7.4,17990,0.7
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26,6.7,7.5,90,1.6
2287,R ITHIKKARA AT ITHIKKARA,KERALA,23.6,6.1,7.4,4429,2
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,30.3,6.7,6.9,87,1.7
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.7,6.9,6.8,85,1.6
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,28.7,2.1,6.8,101,1.6
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,28.2,2.5,6.9,83,1.9
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,24.8,7.2,7.6,75,1.4
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.3,3.7,7.7,32005,1.2
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,29.2,6.1,7.6,281,1.2
3458,KARAPUZHA DAM AT WAYANAD,KERALA,26.6,6.7,7.6,106,0.5
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,30.4,7.6,7.1,58,1.2
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,25.5,1.9,7.7,2941,26.9
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVA0THAPURAM",KERALA,25.1,7.4,7,35,0.1
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,28.9,6.4,7.2,63,1.3
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.8,5.4,6.7,65,1.1
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.3,5.6,7.3,90,1.6
2326,R KORAYAR AT KANJIKODE,KERALA,29.5,7.1,8,728,1.2
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,28.4,5.9,6.8,13953,1.5
2298,R KUPPAM AT RAYAROM,KERALA,26.9,7.4,6.9,57,1.1
1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,25.8,7.2,7.2,41,0.7
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26.6,6.5,7.4,71,0.6
2285,R MAMOM AT MAMOM BRIDGE,KERALA,25.3,6.8,7.1,81,0.8
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,28.2,6.8,6.9,68,1.7
1384,"MANIMALA AT THONDRA, KERALA",KERALA,28.5,6.6,7,70,1.4
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.6,6.4,7.7,100,0.6
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,29,7.3,6.9,96,1.9
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27.5,6.8,6.6,49,0.5
2304,R MOGRAL AT MOGRAL BR.,KERALA,30,5.6,7.2,24360,2.1
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.8,6.9,6.8,59,0.6
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,30.2,7.1,6.8,14410,1.8
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA,30.8,6.2,7.2,22757,1.5
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,25.3,6.7,7.1,66,0.6
2284,R NEYYAR AT ARUVIPURAM,KERALA,25.3,7.2,7,59,0.6
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.8,6,7.6,120,1.3
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.2,5.2,6.8,55,0.6
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.1,4.8,6.8,86,0.7
1565,"PAMBA DOWN, KERALA",KERALA,28.3,3.9,6.9,62,0.5
17,"PERIYAR NEAR ALWAYE0ELOOR, KERALA",KERALA,28.1,5,6.9,3185,1.8
18,"PERIYAR AT KALADY, KERALA",KERALA,27.7,7,7,36,1.1
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28,6.3,6.9,64,1.2
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.2,6.2,6.9,86,1.3
2334,RIVER PERIYAR AT PATHALAM,KERALA,28,5.7,6.8,2640,1.9
2335,R PERIYAR AT KALAMASSERY,KERALA,28.1,5.7,6.9,53,3.1
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.1,6.6,7.1,2007,1.3
3468,"PERIYAR AT KWA INTAKE0 ALUVA, ERNAKULAM",KERALA,28.1,6.6,7,46,1.3
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27.3,6.5,6.5,43,0.9
2303,R PULLUR AT PULLUR BR.,KERALA,28.3,6.7,6.3,54,0.9
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.3,7.2,113,1.8
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.7,4.6,6.7,12561,1.5
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.5,7.7,6.9,61,1.6
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.6,5.8,6.5,61,1
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,31,4.5,6.9,1614,2.1
2306,R UPPALA AT  UPPALA BR.,KERALA,30.5,6.9,7.2,20950,1.3
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,28.8,6.6,7,14487,0.9
1442,"VAMANAPURAM, KERALA",KERALA,25.3,6.9,7.5,54,0.6
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.9,5.5,7.6,569,1.3
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.5,5.4,7.8,310,0.8
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.9,7.1,7.8,516,0.7
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.5,6.9,8,505,0.9
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.1,7.3,7.3,109,2.4
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,26.3,7.5,7.5,83,2.1
